id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
7dG1T4MdtxswggvX16owFU,Maghreb Gang (feat. French Montana & Khaled),53,audio_features,False,True,159800,1,11,2JwyRtuXf2l6sTnSnGVIa1,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1,Farid Bang,26GpISCXGRAIScjyFcdEOk,Genkidama,2020-05-29,14,album,['german hip hop'],['german hip hop'],0.738,0.564,8,-5.341,1,0.19,0.0245,0.0,0.146,0.395,99.93,spotify:track:7dG1T4MdtxswggvX16owFU,https://api.spotify.com/v1/tracks/7dG1T4MdtxswggvX16owFU,https://api.spotify.com/v1/audio-analysis/7dG1T4MdtxswggvX16owFU,4
0rl99X2LTXz2Ot7u0qEujP,Ya Lili,62,audio_features,False,False,200411,1,1,4cgw3nEf6uOQ2NqHwSXErR,Balti,4cgw3nEf6uOQ2NqHwSXErR,Balti,3ZMrAHHAi5kBze92L80mSH,Ya Lili,2017-11-07,1,album,"['arabic hip hop', 'rai', 'rap tunisien', 'rif', 'tunisian pop']","['arabic hip hop', 'rai', 'rap tunisien', 'rif', 'tunisian pop']",0.69,0.596,7,-8.087,0,0.33,0.508,0.0,0.344,0.544,91.804,spotify:track:0rl99X2LTXz2Ot7u0qEujP,https://api.spotify.com/v1/tracks/0rl99X2LTXz2Ot7u0qEujP,https://api.spotify.com/v1/audio-analysis/0rl99X2LTXz2Ot7u0qEujP,4
59l0CeaA4LLngf30waUXWB,Felaket,53,audio_features,False,False,194772,1,1,6LnJKrtFnTEGdbWQ2riWCL,Ezhel,6LnJKrtFnTEGdbWQ2riWCL,Ezhel,2L8sLf65fPQJ03FAGXiWt4,Felaket,2019-02-01,1,album,"['turkish hip hop', 'turkish trap']","['turkish hip hop', 'turkish trap']",0.769,0.556,9,-5.375,0,0.082,0.115,0.000294,0.117,0.607,149.972,spotify:track:59l0CeaA4LLngf30waUXWB,https://api.spotify.com/v1/tracks/59l0CeaA4LLngf30waUXWB,https://api.spotify.com/v1/audio-analysis/59l0CeaA4LLngf30waUXWB,4
3h0D8syG03LNWEyOpiLNmR,Aldırma Deli Gönlüm,32,audio_features,False,False,216973,1,10,5AboYJAlMb9FGadTTDKRoN,Ebru Gündeş,5AboYJAlMb9FGadTTDKRoN,Ebru Gündeş,3F2qZV4NutxdUCXbzq9Tub,Beyaz,2011-01-31,12,album,"['arabesk', 'turkish folk', 'turkish pop']","['arabesk', 'turkish folk', 'turkish pop']",0.707,0.933,7,-5.753,0,0.0515,0.0818,5.91e-06,0.0985,0.756,97.016,spotify:track:3h0D8syG03LNWEyOpiLNmR,https://api.spotify.com/v1/tracks/3h0D8syG03LNWEyOpiLNmR,https://api.spotify.com/v1/audio-analysis/3h0D8syG03LNWEyOpiLNmR,4
3JusJKjcAkPhgMOtbuEnH3,Te ka lali shpirt,55,audio_features,False,False,184668,1,1,5R4WNySx3W1XrS7vf8jMk1,Silva Gunbardhi,5R4WNySx3W1XrS7vf8jMk1,Silva Gunbardhi,4AyOzH99o8LIaoelWvorBW,Te ka lali shpirt,2013-01-19,1,album,"['albanian pop', 'tallava']","['albanian pop', 'tallava']",0.82,0.795,5,-5.005,0,0.0591,0.0497,0.0,0.28,0.913,127.985,spotify:track:3JusJKjcAkPhgMOtbuEnH3,https://api.spotify.com/v1/tracks/3JusJKjcAkPhgMOtbuEnH3,https://api.spotify.com/v1/audio-analysis/3JusJKjcAkPhgMOtbuEnH3,4
7HvBmLwtxNwdQX9rOfXyfH,Unutursun,47,audio_features,False,False,226719,1,1,65l8s1yyb4imsrrDUNHbj0,BÖ,65l8s1yyb4imsrrDUNHbj0,BÖ,7CUcm2uCcqSRquxPy8DVUF,Unutursun,2017-06-06,1,album,['arab trap'],['arab trap'],0.617,0.543,10,-7.911,0,0.0568,0.364,0.542,0.11,0.196,140.045,spotify:track:7HvBmLwtxNwdQX9rOfXyfH,https://api.spotify.com/v1/tracks/7HvBmLwtxNwdQX9rOfXyfH,https://api.spotify.com/v1/audio-analysis/7HvBmLwtxNwdQX9rOfXyfH,4
1LTb2HCstvKjaWO1jasdwo,Yalnızlık,29,audio_features,False,False,251907,1,7,6hypPYDPSsgioRRfBXve38,Gülben Ergen,6hypPYDPSsgioRRfBXve38,Gülben Ergen,0QVowgn1VK5w0xOTQQW0AQ,Gülben Ergen,2006-06-12,12,album,"['arabesk', 'deep turkish pop', 'turkish pop', 'turkish trap pop']","['arabesk', 'deep turkish pop', 'turkish pop', 'turkish trap pop']",0.624,0.369,3,-8.057,1,0.0352,0.622,0.0,0.208,0.54,116.352,spotify:track:1LTb2HCstvKjaWO1jasdwo,https://api.spotify.com/v1/tracks/1LTb2HCstvKjaWO1jasdwo,https://api.spotify.com/v1/audio-analysis/1LTb2HCstvKjaWO1jasdwo,3
1cLBieprxWbgje8vZNoVsN,Mecnun (Kougan Ray Remix),46,audio_features,False,False,223621,1,1,1qZ684TB9E1BjH58btdtYd,Buray,1qZ684TB9E1BjH58btdtYd,Buray,0N6f5b5i9jdNUf5G3utrz5,Mecnun (Kougan Ray Remix),2020-03-20,1,album,"['turkish deep house', 'turkish pop', 'turkish trap pop']","['turkish deep house', 'turkish pop', 'turkish trap pop']",0.553,0.556,9,-9.374,0,0.212,0.085,0.000156,0.621,0.584,173.974,spotify:track:1cLBieprxWbgje8vZNoVsN,https://api.spotify.com/v1/tracks/1cLBieprxWbgje8vZNoVsN,https://api.spotify.com/v1/audio-analysis/1cLBieprxWbgje8vZNoVsN,4
3NJEhFxDiRXU7CmvyqFSDI,Sevince,58,audio_features,False,False,315200,1,6,4o3Nv2BAyoZkyGaRXv4rT3,Erkin Koray,4o3Nv2BAyoZkyGaRXv4rT3,Erkin Koray,7fmkRO1C2lLXlaSMg6O6dx,"Şaşkın / Dünden Esintiler, Vol.1",1993-08-18,11,album,['anadolu rock'],['anadolu rock'],0.61,0.299,1,-18.453,1,0.0324,0.611,0.00311,0.315,0.875,130.275,spotify:track:3NJEhFxDiRXU7CmvyqFSDI,https://api.spotify.com/v1/tracks/3NJEhFxDiRXU7CmvyqFSDI,https://api.spotify.com/v1/audio-analysis/3NJEhFxDiRXU7CmvyqFSDI,4
0ogVMcRZCS8xHnm6JqZZkv,Mihriban,51,audio_features,False,False,259067,1,9,295s7rUdwD6adgPiYMRUAM,Musa Eroğlu,295s7rUdwD6adgPiYMRUAM,Musa Eroğlu,6wIeodkSIFIXoyPOL0CJtT,Bir Nefes Anadolu,2000-09-29,12,album,"['arabesk', 'baglama', 'turkish folk']","['arabesk', 'baglama', 'turkish folk']",0.576,0.531,5,-11.404,0,0.0395,0.783,0.0164,0.121,0.655,111.902,spotify:track:0ogVMcRZCS8xHnm6JqZZkv,https://api.spotify.com/v1/tracks/0ogVMcRZCS8xHnm6JqZZkv,https://api.spotify.com/v1/audio-analysis/0ogVMcRZCS8xHnm6JqZZkv,5
