id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,added_at,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
11MaFb9G7SEKL4n59WX4MZ,Çocuk,24,audio_features,False,False,217147,1,1,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.379,0.676,11,-8.532,0,0.126,0.342,0.00395,0.285,0.154,119.193,spotify:track:11MaFb9G7SEKL4n59WX4MZ,https://api.spotify.com/v1/tracks/11MaFb9G7SEKL4n59WX4MZ,https://api.spotify.com/v1/audio-analysis/11MaFb9G7SEKL4n59WX4MZ,4
1zoq6ljQM4zRtli0JcDK67,Her Şey Yolunda,39,audio_features,False,False,227413,1,2,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.733,0.239,11,-12.728,0,0.0583,0.735,3.89e-06,0.109,0.256,119.573,spotify:track:1zoq6ljQM4zRtli0JcDK67,https://api.spotify.com/v1/tracks/1zoq6ljQM4zRtli0JcDK67,https://api.spotify.com/v1/audio-analysis/1zoq6ljQM4zRtli0JcDK67,4
3cXe9k3ovSbItUKyk0fyUu,Açık Deniz,42,audio_features,False,False,222987,1,3,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.837,0.54,1,-10.331,0,0.0433,0.0643,0.0,0.192,0.535,135.977,spotify:track:3cXe9k3ovSbItUKyk0fyUu,https://api.spotify.com/v1/tracks/3cXe9k3ovSbItUKyk0fyUu,https://api.spotify.com/v1/audio-analysis/3cXe9k3ovSbItUKyk0fyUu,4
1UISoep66L6w4k9Il9XudQ,İmkânsız,38,audio_features,False,False,227573,1,4,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.342,0.486,5,-7.129,0,0.0827,0.29,0.0,0.209,0.166,171.924,spotify:track:1UISoep66L6w4k9Il9XudQ,https://api.spotify.com/v1/tracks/1UISoep66L6w4k9Il9XudQ,https://api.spotify.com/v1/audio-analysis/1UISoep66L6w4k9Il9XudQ,3
1yL26eSXM9xEHBkCDdIYl5,Panik Atak,21,audio_features,False,False,208027,1,5,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.631,0.665,9,-7.171,1,0.0714,0.043,1.28e-06,0.342,0.727,169.795,spotify:track:1yL26eSXM9xEHBkCDdIYl5,https://api.spotify.com/v1/tracks/1yL26eSXM9xEHBkCDdIYl5,https://api.spotify.com/v1/audio-analysis/1yL26eSXM9xEHBkCDdIYl5,4
5Z4aRfjfBHgpaVC3Mae32T,Hala,27,audio_features,False,False,259133,1,6,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.549,0.569,4,-9.35,0,0.201,0.4,1.8e-06,0.134,0.356,173.948,spotify:track:5Z4aRfjfBHgpaVC3Mae32T,https://api.spotify.com/v1/tracks/5Z4aRfjfBHgpaVC3Mae32T,https://api.spotify.com/v1/audio-analysis/5Z4aRfjfBHgpaVC3Mae32T,4
354Fy8ZNUiuLnVD2pTTYIj,Esaret,22,audio_features,False,False,177400,1,7,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.342,0.225,11,-12.865,0,0.0426,0.745,0.0,0.139,0.172,58.528,spotify:track:354Fy8ZNUiuLnVD2pTTYIj,https://api.spotify.com/v1/tracks/354Fy8ZNUiuLnVD2pTTYIj,https://api.spotify.com/v1/audio-analysis/354Fy8ZNUiuLnVD2pTTYIj,4
4zszhkAik9h9QIigpLmYrD,Leyla,37,audio_features,False,False,186840,1,9,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.793,0.507,1,-10.693,0,0.164,0.141,0.0,0.231,0.69,120.05,spotify:track:4zszhkAik9h9QIigpLmYrD,https://api.spotify.com/v1/tracks/4zszhkAik9h9QIigpLmYrD,https://api.spotify.com/v1/audio-analysis/4zszhkAik9h9QIigpLmYrD,4
4txOdPaJ2l13JlfzUA7ibo,Issız Ada,40,audio_features,False,False,202227,1,10,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.624,0.41,11,-9.999,1,0.0596,0.258,7.04e-06,0.211,0.619,118.925,spotify:track:4txOdPaJ2l13JlfzUA7ibo,https://api.spotify.com/v1/tracks/4txOdPaJ2l13JlfzUA7ibo,https://api.spotify.com/v1/audio-analysis/4txOdPaJ2l13JlfzUA7ibo,5
0Vu7dBDehf5X0JKrsE0ymN,Aslan Gibi,53,audio_features,False,False,234587,1,11,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.711,0.526,6,-9.794,0,0.117,0.323,0.0,0.103,0.777,89.91,spotify:track:0Vu7dBDehf5X0JKrsE0ymN,https://api.spotify.com/v1/tracks/0Vu7dBDehf5X0JKrsE0ymN,https://api.spotify.com/v1/audio-analysis/0Vu7dBDehf5X0JKrsE0ymN,4
