id,uri,type,name,genres,followers
2TUYtKan3NuDy9JexzL4db,spotify:artist:2TUYtKan3NuDy9JexzL4db,artist,Murat Göğebakan,"['anadolu rock', 'arabesk', 'turkish folk']",123982
4XYD8wP6f1sfLtWfrY1luF,spotify:artist:4XYD8wP6f1sfLtWfrY1luF,artist,Kıraç,"['anadolu rock', 'turkish folk', 'turkish pop', 'turkish rock']",341555
5IAxUWLiTMsvc1oWPrczNj,spotify:artist:5IAxUWLiTMsvc1oWPrczNj,artist,Melek Mosso,"['turkish alt pop', 'turkish pop']",622864
73wqUOsgp2DZd4IAmf48Gn,spotify:artist:73wqUOsgp2DZd4IAmf48Gn,artist,Cengiz Kurtoğlu,"['arabesk', 'turkish folk', 'turkish pop']",621136
1Fg19vpUJpAAPFjnKaVYVW,spotify:artist:1Fg19vpUJpAAPFjnKaVYVW,artist,Reynmen,"['turkish hip hop', 'turkish trap pop']",2412344
1nFJWl30l3PAHei86OxN0i,spotify:artist:1nFJWl30l3PAHei86OxN0i,artist,Oğuzhan Koç,"['turkish pop', 'turkish trap pop']",1117721
51DevdOxIJin6DB1FXJpD1,spotify:artist:51DevdOxIJin6DB1FXJpD1,artist,UZI,['turkish trap'],798193
1ITjgqpqMDJlqZGAK3mlPQ,spotify:artist:1ITjgqpqMDJlqZGAK3mlPQ,artist,Sefo,"['turkish trap', 'turkish trap pop']",378664
2WBJQGf1bT1kxuoqziH5g4,spotify:artist:2WBJQGf1bT1kxuoqziH5g4,artist,Purple Disco Machine,"['deep house', 'house', 'tropical house']",324503
4FjxqqOXKI1eGLrYn3GUq4,spotify:artist:4FjxqqOXKI1eGLrYn3GUq4,artist,Grup Yorum,"['karadeniz turkuleri', 'turkish folk', 'turkish jazz']",367984
6iBdV6h17D1kOnK9lFyWo3,spotify:artist:6iBdV6h17D1kOnK9lFyWo3,artist,Bilal Sonses,"['turkish pop', 'turkish trap pop']",1698373
0ZRQKFaYGEtbLc8NbyICoe,spotify:artist:0ZRQKFaYGEtbLc8NbyICoe,artist,Deeperise,"['turkish deep house', 'turkish pop', 'turkish trap pop']",295022
3E31HqA00iCX9nRhesw6LD,spotify:artist:3E31HqA00iCX9nRhesw6LD,artist,Snelle,"['dutch hip hop', 'dutch pop']",470063
50z4meqYMvVCXEv2jDneDN,spotify:artist:50z4meqYMvVCXEv2jDneDN,artist,Tuğçe Kandemir,"['turkish pop', 'turkish trap pop']",1387263
6zVFRTB0Y1whWyH7ZNmywf,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf,artist,Tash Sultana,['australian reggae fusion'],1388290
0Y5tJX1MQlPlqiwlOH1tJY,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,artist,Travis Scott,"['rap', 'slap house']",19394352
3yKO4z2CeXv9sxD1zSw0Sg,spotify:artist:3yKO4z2CeXv9sxD1zSw0Sg,artist,Riff Cohen,"['israeli indie', 'israeli singer-songwriter']",34377
0V2oXYR7DtrZAEFeILRW2r,spotify:artist:0V2oXYR7DtrZAEFeILRW2r,artist,Lvbel C5,"['turkce drill', 'turkish trap']",226329
