id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
3UsuLZbjEIrrGnCwC9QDRe,Polyushka Polye,54,track,False,False,211046,1,7,5hG2Ykzwihrr7NA0qiGOOB,Efkan Şeşen,5hG2Ykzwihrr7NA0qiGOOB,Efkan Şeşen,2AlHfba2EwwTVV68IoMB3l,Renkler Ve Islıklar,2008-03-01,17,album
7xMxs0Olfv0KKeaXmBZHYH,Gecelerim,38,track,False,False,162801,1,3,7lAMAZizRgc9vwXHQOULe4,Doğan Canku,7lAMAZizRgc9vwXHQOULe4,Doğan Canku,0JvGUBWEtRfjsuOM4bmjMg,Best Of +3,2018-03-08,12,album
3746cVSYCNAiQoctExJAQj,Fırat Ağıtı,35,track,False,False,375791,1,1,7HIccJjwPhWkLVKu0gGJgB,Erkan Oğur,7HIccJjwPhWkLVKu0gGJgB,Erkan Oğur,4B0n2XlPPAcPWfN347JL2u,Eşkiya (Orijinal Film Müzikleri),1996-12-24,12,album
2na5a9sMO9eDY8PsY8RDcU,E Asiye,41,track,False,False,218917,1,12,4sZoPjQQIl8WXwYanHH6bK,Ayşenur Kolivar,4sZoPjQQIl8WXwYanHH6bK,Ayşenur Kolivar,1RTJyu4VxKPmgXjxKLNPyf,Bahçeye Hanımeli,2011-10-04,25,album
7DnlgYiDrJTe120ggKpv79,Veda - Piano Çello,35,track,False,False,185026,1,9,3ZV2kReDeCXgw0RJaPV5wX,Zülfü Livaneli,3ZV2kReDeCXgw0RJaPV5wX,Zülfü Livaneli,5mfuAkDWiPqkr4EfT1NIP2,Veda (Film Müziği),2010-02-09,15,album
7yUGUxBCkgOlzIRnQwfRaT,Sen Evlisin Ben Bekar,30,track,False,False,215719,1,2,2wioAsnSZ6JmA6I7Y7PDkc,Gülden Karaböcek,0LyfQWJT6nXafLPZqxe9Of,Various Artists,6omaIyzUHJVAqEtLlIh5wk,Kaptanlara Selam Yola Devam,1991-05-09,11,album
6rnWhOPlvCL5q4uRdUOVZG,Sunshine,47,track,False,False,142000,1,1,7k6KVFItaU7pcBvL6poIi9,Mark Eliyahu,7k6KVFItaU7pcBvL6poIi9,Mark Eliyahu,4OezIFu3j4jYtPXun5Z1Ma,Sunshine,2020-09-18,1,album
2UkJBaKK7zALWhsU5t3VlW,Dal Goncayı Bir Sabah,48,track,False,False,217431,1,7,5Z0rUIkdvlnx6JYqcC4aU0,Can Gox,5Z0rUIkdvlnx6JYqcC4aU0,Can Gox,4bDxaTxRcDoi6VmUan9xcF,Yalnızım Ben,2013-03-12,9,album
51RVkWypnD0l13buuwFu17,Shaneh,34,track,False,False,169640,1,10,4OpgGR0sYIwrfYZgklLWnk,Farid Farjad,4OpgGR0sYIwrfYZgklLWnk,Farid Farjad,3Kg7VsOHACTHwIkzfEOrmi,Anroozha Vol. 1,1987-11-10,10,album
3HSuC2bBT4jgF0yKbvcmd9,Khan Baji,19,track,False,False,464480,1,6,4eVyI1yiHoRjVrxt5y7gGL,Mohsen Namjoo,4eVyI1yiHoRjVrxt5y7gGL,Mohsen Namjoo,2L4UhCnlktxe65qU8FajS1,Oy,2009-10-06,8,album
0T4opYMwAWnvQK5Kea3NL9,Ask-i Huma,17,track,False,False,412506,1,2,0TmpilCaLhx7jbBu9bxpJs,Can Atilla,0TmpilCaLhx7jbBu9bxpJs,Can Atilla,375KGCcBfWmMcmdAowKRNr,1453 Fatih Askina,2013-04-12,10,album
1wWecaOeISvjxvvhG2rWVS,Sihirli Ay,26,track,False,False,183266,1,2,72AIXHq51QUzL9ijy98qE3,Yedi Karanfil,72AIXHq51QUzL9ijy98qE3,Yedi Karanfil,1kHoHfKj6DbTR1vPHRaiAB,"Yedi Karanfil, Vol. 4 (Seven Cloves Enstrumantal)",1996-08-22,18,album
7lBhtV8U4i3dfjYdoDtj6e,Dillirga,46,track,False,False,230040,1,15,5hG2Ykzwihrr7NA0qiGOOB,Efkan Şeşen,5hG2Ykzwihrr7NA0qiGOOB,Efkan Şeşen,2AlHfba2EwwTVV68IoMB3l,Renkler Ve Islıklar,2008-03-01,17,album
1yPI5N5DyPXO0RWYM9FEBM,Jarnana,46,track,False,False,222794,1,4,1WeO0UYvbcLvA27hupeCYV,Kemal Sahir Gürel,1WeO0UYvbcLvA27hupeCYV,Kemal Sahir Gürel,2ITckt1fKm7W81mHQkMXpZ,Elveda Rumeli (Orjinal Dizi Müzikleri),2008-07-04,30,album
1RJxQMzSRwnkuG6MJ17Ttp,Zemar (Ağıt),31,track,False,False,261966,1,12,3MbsT2QoYOphVRqqMPQksZ,Kardes Türküler,3MbsT2QoYOphVRqqMPQksZ,Kardes Türküler,58REZlfyQL176KxgSNfXi0,Vizontele,2001-12-01,14,album
3zWfjRtvm3gFEAjqeWScEl,Field,66,track,False,False,113050,1,2,69RwhKw37lY73bMGaSts7C,Evgeny Grinko,69RwhKw37lY73bMGaSts7C,Evgeny Grinko,4bfTO7z4xWS3ATjq5j9ay5,Silent Like Water,2015,5,album
